MAT	<p>45a0_f118</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.
MAT	<p>45a0_ddb3</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass particles are placed into a blender and act like bullets smashing the <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Protein catalysts decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.
MAT	<p>45a0_7def</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Cells are pushed through a Z-shaped chamber using a high-pressure pump.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.
MAT	<p>45a0_265b</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Ice crystal expansion leads to <strong><span style="color: #b74300;">cell</span> </strong>wall disruption.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Protein catalysts decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_b30f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cell suspensions are subjected to variable temperatures, resulting in rupture of the walls.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.
MAT	<p>45a0_8fad</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Shearing forces from spinning blades break <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Under cold temperatures, the water inside the <strong><span style="color: #d40000;">cells</span></strong> expands into ice, causing the <strong><span style="color: #d40000;">cells</span></strong> to burst open.
MAT	<p>45a0_3d48</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Ice crystal expansion leads to <strong><span style="color: #b74300;">cell</span> </strong>wall disruption.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #3b7600;">Sonication</span></strong>	High-frequency sound waves cause disruption of <strong><span style="color: #d40000;">cells</span></strong> by shear force and tension.
MAT	<p>45a0_6ea4</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	Shear force from high-frequency waves disrupts <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	The <strong><span style="color: #d40000;">cells</span></strong> are disrupted by hand grinding them.
MAT	<p>45a0_3162</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	This technique involves using glass or metal particles to apply gentle abrasion while vortexing them.	<strong><span style="color: #003fff;">French Press</span></strong>	Cell suspension is forced through a narrow valve using a hydraulic piston.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme digests gram-positive bacterial <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."
MAT	<p>45a0_add2</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">French Press</span></strong>	Cell suspension is forced through a narrow valve using a hydraulic piston.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_4443</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves rupture <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A high-pressure pump pushes <strong><span style="color: #d40000;">cells</span></strong> through a Z-shaped interaction chamber.
MAT	<p>45a0_6e37</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Ice crystal expansion leads to <strong><span style="color: #b74300;">cell</span> </strong>wall disruption.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.
MAT	<p>45a0_4732</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves rupture <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.
MAT	<p>45a0_75fd</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestive protein catalysts digest and decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Cells are disrupted by the shear force and tension caused by high-frequency sound waves.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.
